Strain,Cultivator,Split,DT1,DT2,DT3,DT4,DT5,QR,Ailments,BestFor,Effects,Smell,Taste,Lineage
Hercules,,60/40 S,β-Caryophyllene,Limonene,α-Humulene,,,,"Stress, Depression, Chronic pain, Fatigue","Introducing the mighty Hercules! This strain is a powerful sativa that is sure to get you up and moving. With its uplifting effects, you can tackle any task that comes your way. It has a sweet aroma with a hint of pine, and the flavor is similar to a fresh citrus fruit. Hercules is perfect for those who need a boost in motivation and energy. Give it a try and see how it can help you power through your day!","Relaxation, Uplifted, Euphoria, Happy, Creative","Piney, Diesel, Citrusy, Spicy","Earthy, Herbal, Woody, Skunky",Hawaiian Urkle x Gupta Kush
Holiday Special,Osage Creek,,Limonene,β-Myrcene,β-Caryophyllene,,,https://sh-ar.qbench.net/pr/242d675d92f6183 (No Terps),"Mood Enhancement, Stress Relief, Pain Management","Users of Holiday Special find it suitable for various purposes, including relaxation, stress reduction, mood enhancement, and potential relief from certain physical discomforts.","Balanced, Uplifted, Happy","Sweet, Herbal, Spice",,
Holy Roller OG,Bold,Indica Dominant Hybrid,β-Myrcene,β-Caryophyllene,Limonene,,,,,"Holy Roller OG is an indica-dominant hybrid originating in Colorado and bred by Crate Digger Seeds. Crossing Holy Grail Kush with the sought-after Earth OG by Apothecary Seeds. With a sweet floral aroma and funky, lingering back end. This OG genetic is a great example of the look, smell, and bud structure of a “clone only” OG.",,,,
Hood Ornament,Osage Creek,40-60,Limonene,β-Myrcene,β-Caryophyllene,,,,"Mood Enhancement, Stress Relief, Pain Management","Users of Hood Ornament find it suitable for various purposes, including relaxation, stress reduction, mood enhancement, and potential relief from certain physical discomforts.","Balanced, Uplifted, Happy","Citrus, Fruity, Spice",,
Honest Abe,Carpenter Farms,,β-Caryophyllene,Limonene,β-Myrcene,α-Humulene,β-Pinene,https://drive.google.com/file/d/1tBOhleM2CORkHVy4UIaoaLdWiEzlZs61/view?usp=drive_link,,,,,,
Horchata,Revolution Cannabis,,Limonene,β-Caryophyllene,Linalool,β-Myrcene,α-Humulene,https://fastlabs.qbench.net/pr/ca48cdd7cd0a515,,,,,,
HOTD,Carpenter Farms,,Limonene,β-Myrcene,β-Caryophyllene,β-Pinene,α-Phellandrene & α-Terpinene,https://drive.google.com/file/d/1-QddH7KFr7S--zXiGbLaGH5U_v19R-TP/view,,,,,,
Hybrid (DownHill),Carpenter Farms,,β-Caryophyllene,Limonene,Linalool,α-Humulene,β-Myrcene,https://sh-ar.qbench.net/pr/b2259c31937cbe7,,,,,,
Ice Cream Cake,Osage Creek,30-70,Terpinolene,β-Myrcene,β-Caryophyllene,,,,"Evening Relaxation, Stress Relief, Pain Management",Our Ice Cream Cake strain is not just a pretty face; it's also highly appreciated for its therapeutic characteristics. This strain offers a relaxing and soothing effect that can ease your mind and body.,"Relaxation, Sleepy, Uplifted","Sweet, Earthy, Spice",,
Ice Cream Cake,CMG,,Limonene,β-Caryophyllene,β-Myrcene,α-Humulene,α-Terpinene,https://drive.google.com/file/d/1qZ4WpR7HQ94nDxuQCKhBQ9Be1iq2Q0Lu/view?usp=drive_link,,,,,,
Ice Cream Cake,Bold,,β-Caryophyllene,Limonene,Linalool,,,,,,,,,
Ice Cold,Osage Creek,,Limonene,Linalool,β-Myrcene,β-Caryophyllene,β-Pinene,https://sh-ar.qbench.net/pr/c9c6c623030b965,"Mood Enhancement, Stress Relief, Creative Activities","Ice Cold is perfect for those seeking a balanced high
that energizes the mind while relaxing the body. Ideal
for daytime use.","Relaxation, Balanced, Uplifted","Citrus, Floral, Earthy",,
Jackie Glue,Bold,,β-Myrcene,β-Caryophyllene,Limonene,,,,,,,,,
JACO Jungle,Revolution Cannabis,,Terpinolene,cis-β-Ocimene,Limonene,β-Myrcene,β-Pinene,https://fastlabs.qbench.net/pr/62a4af4f092a9f5,,,,,,
Jazz Cabbage,Bold,,Terpinolene,β-Myrcene,Cis-β-Ocimene,,,,,,,,,
Jealousy,,50/50 H,Linalool,β-Caryophyllene,Limonene,,,,"Stress, Anxiety, Mild to moderate pain, Lack of focus, Mood swings","Discover the intriguing world of Jealousy, a perfectly balanced hybrid born from the enchanting union of Gelato 41 and Sherbet. Allow the harmonious effects of this 50/50 blend to transport you to a realm where euphoria and relaxation intertwine seamlessly. Jealousy treats your palate to a delightful combination of sweet and creamy flavors, echoing the best characteristics of its Gelato and Sherbet lineage, making it an ideal choice for those seeking a well-rounded and pleasurable cannabis experience.","Balanced hybrid effects, Euphoric and Uplifting, Relaxing body sensations, Stress relief, Creative stimulation","Sweet, Creamy, Citrus undertones","Sweet, Creamy, Fruity finish",Gelato 41 x Sherbet
JET FUEL,Leafology,Sativa,Limonene,β-Caryophyllene,β-Myrcene,,,,"Stress, Anxiety, Fatigue, Depression, Social Gatherings",,"Energetic, Focused, Creative, Invigorating","Diesel, Gasoline, Earthy, Citrus",,
JILLY BEAN,Leafology,Sativa,Limonene,β-Caryophyllene,β-Myrcene,,,,"Anxiety, Depression, Fatigue, Creativity",,"Euphoric, Energetic, Creative, Sociable","Sweet Citrus, Fruity Candy, Tropical",,
Jungle Breath,Bold,Hybrid,β-Caryophyllene,Limonene,β-Myrcene,,,,,"Bred by Jungle Boys, Jungle Breath is a hybrid cross between Motorbreath and one of their main males, Jungle Cake. This sweet-tasting variety provides long-lasting relief for patients treating symptoms throughout the day, but high doses can induce an early night’s sleep. The nose tends towards the funky with a pungent finish reminiscent of the “breath” female lineage.",,,,
Jungle Cake,Revolution Cannabis,,β-Myrcene,β-Caryophyllene,Limonene,Linalool,α-Humulene,https://sh-ar.qbench.net/pr/779bf8fc8b78ca6,,,,,,
Jungle Scout,Osage Creek,20-80,Limonene,β-Myrcene,β-Caryophyllene,α-Humulene,,,"Evening Relaxation, Stress Relief, Creative Activities","Jungle Scout has a high that tends to be heavy, potent, and euphoric. Jungle Scout Cookies is best reserved for an evening with nothing on your schedule.","Happy, Creativity, Relaxation","Citrus, Herbal, Spice, Woody",,
Jungle Wifi,Bold,Indica,β-Myrcene,Limonene,β-Caryophyllene,,,,,"Jungle WiFi is a Indica hybrid genetic bred in California. Crossing an OG cross of WiFi Cake with the soughtafter Jungle Cake, this genetic boasts a large bud structure and can exhibit heavy trichome production. A very indica forward head high gives way to relaxed muscles and is great for both daytime and night.",,,,
KABOOM KUSH,Leafology,Sativa,β-Myrcene,β-Caryophyllene,Limonene,,,,"Anxiety, Pain Management, Inflammation, and Depression",,"Euphoria, Creativity, and Focus","Skunk, Citrus, Earthy, Pine",,
Key Lime Pie,River Valley Relief,,β-Myrcene,β-Caryophyllene,Linalool,Limonene,α-Humulene,https://rvr.care/DSTCF,,,,,,
Kush Mintz,Revolution,,Limonene,β-Caryophyllene,Linalool,α-Humulene,Nerolidol,https://fastlabs.qbench.net/pr/1578ea4d8b2e7a7,,,,,,
KO,Osage Creek,,β-Caryophyllene,α-Humulene,Limonene,,,https://sh-ar.qbench.net/pr/2478baa027f9660 (No Terps on website),,,,,,
La Bomba,Bold,Indica Hybrid,Limonene,Linalool,β-Myrcene,,,,,La Bomba is an upcoming genetic bred by Compound Genetics. This combination of Wedding Cake and Jet Fuel Gelato brings two of much hyped modern cultivars together in one frosty package.,,,,
La Kush Cake,Bold,Indica Dominant Hybrid,Limonene,Linalool,β-Caryophyllene,,,,,"This Blend of Wedding cake and Kush Mints is known for its delightful smells of vanilla, earthy peppermint, and subtle hints of citrus. A clone only cultivar originating in California. LA Kush Cake is a great example of the new style of Hybrid that is taking over the West Coast scene.",,,,
Lava Cake OG,Osage Creek,,Limonene,β-Myrcene,β-Caryophyllene,,,,,,,,,
Lem Dog,Bold,,β-Myrcene,α-Pinene,β-Pinene,,,,,,,,,
Lemon Berry Candy OG,,50/50 H,Terpinolene,β-Caryophyllene,,,,,Chronic fatigue; ADD/ADHD; Depression; Mood swings; Chronic stress; Appetite loss; Nausea,"As the name suggests, Lemon Berry Candy OG has a sweet, citrusy flavor that's sure to please your taste buds. It's a well-balanced hybrid that delivers both relaxing and uplifting effects, making it great for any time of day. This strain is also known for its medicinal benefits, including its ability to relieve stress and anxiety, as well as its anti-inflammatory properties.","Uplifted, Happy, Energetic, Creative, Relaxed","Lemon, Berry, Sweet, Citrusy","Sweet & sour citrus; Hints of berry; Aroma is earthy & gassy with sour citrus, sweet berries, and petrol",Las Vegas Lemon Skunk x Lemon Grape Bubba Temple (LGBT)
Lemon Butter,,50/50 H,Limonene,,,,,,"Depression, Fatigue, Lack of appetite, Nausea","Prepare to be delighted by the creamy goodness of Lemon Butter! This strain is a true treat for the senses with its mouthwatering aroma and delectable taste. When you open a jar of Lemon Butter, you'll be greeted by a rich and buttery scent with a hint of refreshing citrus. The buds are dense and covered in a layer of trichomes, making them look like little nuggets of gold. As you take a puff of Lemon Butter, you'll be enchanted by its smooth and velvety smoke that carries the distinct flavor of sweet lemon and creamy butter. This strain offers a blissful experience, promoting relaxation and a sense of contentment. Whether you're unwinding after a long day or simply want to indulge in a moment of pure pleasure, Lemon Butter is the perfect companion.","Calming, social","Lemon, Butter, Creamy, Sweet, Citrus","Lemon, Butter, Herbal, Earthy",Lemon Puff x Peanut Butter Breath
Lemon Cello,,70/30 S,Limonene,,,,,,Appetite Stimulation; Chronic Pain Relief; Stress Relief,"If you're a fan of citrusy delights, then Lemon Cello is the strain for you! Its name perfectly captures its essence as it boasts a zesty lemon aroma that instantly uplifts the senses. The buds of Lemon Cello are dense and coated in a generous layer of trichomes, glistening like tiny crystals. When you take a toke of Lemon Cello, you'll experience a burst of tangy lemon flavor that dances on your taste buds. This strain offers a pleasantly uplifting experience, providing a boost of energy and a clear-headed focus. Whether you're embarking on a creative project or need an extra dose of motivation, Lemon Cello will keep you feeling refreshed and invigorated.","Invigorating and upbeat effects, relaxation","Citrus, Lemon, Zesty, Tangy, Fresh",Lemon & Cherry with a crisp citrus finish,The Original Lemonade x Cherry Pie
Lemon Drizzle,Carpenter Farms,,β-Myrcene,Limonene,β-Pinene,Phellandrene,Ocimene 3-Carene α-Terpinene,https://drive.google.com/file/d/18ZvMYwV2hIOLeUNGQaaUPVbUCQskayh8/view,,,,,,
Lemon Icing,,60/40 S,β-Myrcene,β-Caryophyllene,Limonene,,,,"Pain management, anxiety","Lemon Icing, a vibrant and uplifting cannabis strain, is a Sativa-dominant hybrid with a genetic composition of 60% Sativa and 40% Indica. This exquisite strain is the result of crossing the well-known Lemon Tree (a fusion of Lemon Skunk and Sour Diesel) with an undisclosed Sativa strain, creating a unique and enticing profile. Known for its zesty and citrusy aroma, Lemon Icing offers a refreshing experience that engages the senses. The uplifting Sativa dominance delivers an energizing and creative boost, making it an ideal choice for those seeking a daytime strain. With a delightful blend of genetics and a flavor profile reminiscent of sweet lemon icing, this strain is not only visually appealing but also promises a pleasurable and invigorating cannabis experience.",Energy; Social Anxiety Relief; Stress Relief, A slight Diesel skunk,Citrus; Herbs; Vanilla Cream,"Lemon Tree (Lemon Skunk x Sour Diesel) x unknown Sativa strain
"
Lemon OG Haze,,70/30 S,β-Myrcene,Limonene,β-Caryophyllene,,,,Chronic fatigue; Depression; Lethargy; Nausea,"Are you looking for a citrusy strain that will lift your mood? Lemon OG Haze might be just what you need. With its bright lemon scent and smooth smoke, this sativa-dominant strain is perfect for a daytime pick-me-up. It can help ease stress and anxiety while promoting creativity and focus. Take a puff and let the refreshing taste and aroma take you away to a happier place.","Uplifted, Energetic, Happy, Creative, Focused","Citrusy, Lemon, Hazy, Herbal",Tangy; Sweet citrus; Smooth spice. Aromas of lemon and earth and spice.,Lemon OG x Haze
Lemon Kush Headband,Osage Creek,70-30,β-Caryophyllene,β-Pinene,Limonene,,,,"Daytime Use, Stress Relief, Creative Activities","Lemon Kush Headband is a symphony of refreshing scents, led by the bright and uplifting notes of citrus and lemon. The experience is further enriched with hints of pine and a touch of spice, creating a truly invigorating aroma and flavor profile.","Energized, Uplifted, Creativity","Spice, Pine, Citrus",,
Lemon Poison,,50/50 H,Limonene,Terpinolene,,,,,"Stress, Fatigue, Lack of focus, Mild depression, Creative block","Embark on a journey with Lemon Poison, an exquisite 50/50 hybrid crafted from the dynamic fusion of Lemon G-13 and Durban Poison. Let the invigorating effects of this strain captivate your senses, offering a perfect balance between uplifting euphoria and clear-headed focus. Lemon Poison delights the palate with a zesty burst of lemony freshness, complemented by the subtle earthiness inherited from its Durban Poison lineage, creating a refreshing and energizing cannabis experience.","Uplifting and Energetic, Clear-headed focus, Mood enhancement, Stress relief, Creative inspiration","Citrus, Earthy, Zesty undertones","Lemony, Fresh, Earthy finish",Lemon G-13 x Durban Poison
Lilac Cookies,,50/50 H,Terpinolene,β-Caryophyllene,,,,,Migraines; Headaches; Nausea; Appetite loss; Depression; Chronic stress; Insomnia,"Lilac Cookies is a hybrid strain with a sweet, floral aroma and a smooth taste. Its effects are known to be relaxing and calming, making it great for use in the evening or before bed. It's also a great strain for those looking for pain relief, as it has powerful analgesic properties that can help ease chronic pain.","Relaxation, Euphoria, Happiness, Uplifted, Sleepiness","Floral, Sweet, Earthy, Herbal",Floral & sweet citrus notes with a sour petrol overtone; Creamy exhale,Lilac Diesel x Forum Cookies
Lilac Diesel,Natural State Medicinals,,Terpinolene,β-Caryophyllene,cis-β-Ocimene,β-Myrcene,α-Humulene,https://drive.google.com/file/d/1dIDzX3h_Vvb2SQDlIXTOQnJVVdyX9i1T/view,,,,,,
Lilac Diesel,,60/40 S,β-Myrcene,Limonene,,,,,Appetite Stimulation; Energy; Pain Relief; Stress Relief,"Lilac Diesel is a unique strain with a sweet and floral scent that is sure to catch your attention. This hybrid strain offers a balanced high that is both uplifting and relaxing. It can help ease anxiety and promote feelings of calmness, making it a great choice for unwinding after a long day. If you're looking for a strain with a complex flavor profile and a mellow high, Lilac Diesel is worth a try.","Relaxation, Euphoria, Uplifted, Happy, Creative","Floral, Diesel, Sweet, Earthy",Citrus; Sweet berries; Piney vegetation; and Diesel's classic 'gassy' aroma.,(Silver Lemon Haze X Forbidden Fruit) x (Chem D I95 X Citral Glue) x (NYC Diesel x Cherry Pie)
Lolipop,RVR,Hybrid,Limonene,β-Myrcene,Linalool,β-Caryophyllene,α-Humulene,https://rvr.care/MJpro,Stress,"River Valley Relief proudly introduces Lollipop, a delectable indica-dominant hybrid strain that stems from the genetic fusion of Cinderella 99 and Romulan.  With fluffy forest green nugs, minty undertones, and a generous coating of bright white crystal trichomes, Lollipop promises a visually appealing and satisfying addition to River Valley Relief’s diverse strain library.","Euphoric, Creative, Deep Body Relaxation, ","Fruity, Spicy, Sour, Earthy and Pine.",,
Luxar Dos,Bold,Indica Dominant Hybrid,Limonene,β-Caryophyllene,Linalool,,,,,"Luxor-Dos packs a flavor wallop with its smell closely resembling ripe fruit and gas/diesel, in the best way possible. Tight, colorful buds excite the senses. This high potency strain is ideal for hard heady conversations, lazy days and daily stressors.",,,,
Mac 1,RVR,Indica,Limonene,β-Caryophyllene,Pinene,α-Humulene,Bisabolol,https://rivervalleyrelief.com/flower/mac-i/,"Fatigue, Depression, Chronic Pain and Stress.","Mac1 is an indica hybrid strain produced from crossing Alien Cookies F2 with Miracle 15. This strain has a very interesting back story. It was bred by Capulator in a down swing of the cannabis market, only released to growers Capulator deemed worthy of the genetics to give them an advantage in the over market competition.","Happiness, Euphoria, Creative, Motivated and Uplifted.","Spicy Herbal, Sweet Citrus",,
MAC Daddy,Natural State Medicinals,,Limonene,β-Caryophyllene,Linalool,β-Pinene,cis-β-Ocimene,https://drive.google.com/file/d/1UGlxvSHOapTZoJMUos4qdFl6uoZi2XpY/view,,,,,,
MAC Daddy,,60/40 I,Limonene,β-Caryophyllene,,,,,Chronic Fatigue; Depression; Headaches; Migraines; ADD/ADHD,"Indulge in the ultimate luxury with MAC Daddy! This strain is like a VIP experience that'll make you feel like a boss. Its aroma is a tantalizing blend of sweet and floral notes, creating an ambiance of sophistication. MAC Daddy brings a sense of relaxation and empowerment, elevating your mood and boosting your confidence. So step into the spotlight, take a puff, and let MAC Daddy be your ticket to a glamorous and unforgettable experience.","Relaxation, Euphoria, Happiness, Uplifted, Sleepiness","Citrusy, Diesel, Sweet, Earthy",Super strong pungent & rich spicy smooth flavor; skunky,Miracle Alien Cookies 1 (MAC 1) x OG Kush Breath V2.1
Mac n’ Jack,Natural State Medicinals,,Terpinolene,β-Caryophyllene,cis-β-Ocimene,α-Humulene,β-Myrcene,https://drive.google.com/file/d/1_zkrE1iELcAzpnvOg_vost9iEJXtsfEV/view,,,,,,
Mac 'N' Jack,,50/50 H,Terpinolene,β-Caryophyllene,,,,,"Chronic pain, Inflammation, Muscle spasms, Insomnia","Mac ""N"" Jack is a potent hybrid strain with a pungent aroma and a spicy, earthy taste. Its effects are known to be uplifting and euphoric, making it great for use during the day or when you need a boost of creativity. It's also a popular strain for those looking for relief from depression and anxiety.","Euphoria, Focus, Uplifted, Energetic, Happy","Citrusy, Spicy, Diesel, Earthy","Citrusy, Spicy, Woody, Skunky",Miracle Alien Cookies (MAC) x Jack Herer
Mac Stax,Bold,Hybrid,β-Myrcene,β-Caryophyllene,Limonene,,,,,"Mac Stax is the perfect hybrid, meaning it is just as much Indica as it is Sativa. You will experience the heavy cerebral high, and the full body high. You will get the best of both worlds with this mix. Also known as Miracle Alien Cookies, the scent resembles citrus and spices, while the taste is closer to earthy tones.",,,,
Mad Dog,Osage Creek,50-50,β-Myrcene,Limonene,β-Caryophyllene,Linalool,α-Humulene,https://sh-ar.qbench.net/pr/a3546b67ef98ff0,"Daytime Use, Social Gatherings, Mood Enhancement","When consumed, Mad Dog may offer a flavor experience characterized by fruity and sweet undertones, delivering a delightful taste",,"Sweet, Fruity, Citrus",,
Malibu Mirage,River Valley Relief,,β-Caryophyllene,Limonene,α-Humulene,Linalool,β-Myrcene,https://rvr.care/MMCF,,,,,,
Malibu Mirage,GDF,Indica,Limonene,β-Caryophyllene,Linalool,β-Myrcene,β-Pinene,https://qr.lcdg.io/6D3od9f2u2uFjWb2xicb,,,"Happy, Creative, Relaxed","Dank Umami, Chemmy Pool, Sugared Lemons",,
Mandarin Cookies,,70/30 S,β-Myrcene,,,,,,Enhanced focus; Pain relief; Stress relief,"Mandarin Cookies is a hybrid strain that offers a unique flavor experience. It has a sweet citrusy aroma that is reminiscent of fresh mandarins, and the flavor is just as delicious. This strain has a balanced high that can help ease stress and anxiety while promoting relaxation and creativity. It's perfect for those who want to unwind without feeling too sedated.","Relaxation, Euphoria, Happy, Uplifted, Creative","Citrusy, Sweet, Tangy, Earthy",Citrus & Earthy,Girl Scout Cookies x Mandarin Sunset
Mandarin Temple,,80/20 I,β-Caryophyllene,β-Myrcene,α-Humulene,,,,"Chronic pain relief; Relaxation; Sleep, Stress Relief","Transport yourself to an exotic oasis with Mandarin Temple! This strain is like a tropical paradise that'll awaken your senses. Its aroma is a burst of citrusy goodness, reminiscent of sun-kissed oranges. Mandarin Temple brings a sense of relaxation and rejuvenation, allowing you to escape to a tranquil sanctuary. So close your eyes, take a deep breath, and let Mandarin Temple whisk you away to a world of pure bliss and serenity.","Uplifted, Happy, Energetic, Creative, Focused","Citrusy, Tangy, Sweet, Earthy","Citrusy, Sweet, Earthy",Mandarin Sunset x (Temple Kush x Colin's OG)
Marshmallow OG,Bold,Indica Dominant Hybrid,Limonene,β-Myrcene,β-Caryophyllene,,,,,"Bred by Compound Genetics, Marshmallow OG is a hybrid cross between Jetfuel Gelato and a Chem D x Triangle Kush Male. Marshmellow OG is a great hybrid for and packs a great OG/Kush taste. Tastes range from gassy funk to creamy chocolate tones in the more Triangle Kush leaning phenos",,,,
MASTER KUSH RBX,Leafology,Indica,β-Myrcene,β-Caryophyllene,α-Humulene,,,,"Insomnia, Appetite Stimulant, Anxiety",,"Mellow, Tingly, Sedative, Euphoric","Earthy, Woody, Spicy, Citrus, Pine",,
Matanuska Thunder,Natural State Medicinals,,Terpinolene,cis-β-Ocimene,Limonene,β-Caryophyllene,β-Myrcene,https://bit.ly/4ih8QF8,,,,Natural State Medicinals,,
Matanuska Thunder Fuck,,60/40 S,Limonene,Terpinolene,,,,,"Chronic stress, Nausea, Chronic pain, Depression, Chronic Fatigue","Matanuska Thunder Fuck is a classic strain that has been enjoyed by cannabis enthusiasts for decades. It has a pungent aroma with hints of earthiness and pine, and the flavor is similar to fresh berries. Matanuska Thunder Fuck is a great choice for those who want to unwind after a long day and get a good night's sleep.","Relaxation, Happy, Euphoria, Uplifted, Creative","Earthy, Piney, Woody, Herbal",Super sweet chocolate; light spicy earthy exhale; Aroma of earthy herbs,Russian Ruderalis x (unknown n. CA Sativa) x Afghani Landrace
Meat Breath,Bold,,β-Caryophyllene,Limonene,β-Myrcene,,,,,,,,,
Meep Meep,Osage Creek,50-50,β-Caryophyllene,β-Myrcene,Limonene,β-Pinene,Linalool,https://sh-ar.qbench.net/pr/83f410cbb4961c6,"Pain Management, Mood Enhancement, Stress Relief","Meep Meep captivates with an earthy and sour citrus aroma, leading to an uplifted yet serene experience. Perfectly balanced, this hybrid soothes both mind and body, ensuring relaxation without the couch-lock.","Happy, Relaxation, Energized","Spice, Fruity, Citrus",,
Melon Milk,Natural State Medicinals,,β-Caryophyllene,Limonene,α-Humulene,α & β-Pinene,β-Myrcene,https://drive.google.com/file/d/1vnCuJA8cBN7zSw19lpFwHsyJ3S-ykc5w/view,,,,,,
Melon Milk,,50/50 H,β-Caryophyllene,β-Myrcene,Limonene,,,,"Stress, anxiety, and mild pain, offering both mental and physical relief.","Discover the exceptional Melon Milk, a hybrid strain that masterfully balances euphoria and relaxation. Its dense, frosty buds exude a captivating melon and cream aroma, while the flavor delights with a fusion of sweet melon and creamy notes. Ideal for those seeking a versatile experience, Melon Milk offers potential relief from stress and anxiety, making it a must-try for cannabis connoisseurs.","A balanced hybrid effect, delivering an initial euphoric uplift followed by a soothing relaxation, making it suitable for both daytime and evening use.","Unique aroma reminiscent of fresh melons and creamy undertones, creating a warm and inviting scent profile.","Melon Milk offers a rich blend of sweet melon flavors intertwined with creamy notes, providing a complex and satisfying taste experience.",Gary Poppins x Cereal Milk
Member Berry,Bold,Indica Hybrid,β-Myrcene,Limonene,β-Caryophyllene,,,,,"Bred by Ethos Genetics, Member Berry is best for nighttime use as it does have typical indica effects. The Skunk Berry female used in this cross packs a sweet tart terpene profile that is heavy on linalool and limonene. A delicious cultivar for those looking for a sweet treat.",,,,
Mendo Breath,Bold,Indica Hybrid,Limonene,β-Myrcene,Linalool,,,,,This rare find from the California scene brings on the average potency and turns it into a full cerebral and body high. As you slip into a happy sedation and full hazy euphoric state you might notice an aroma of earthy fresh hints and a taste of sweet vanilla and caramel.,,,,
The Menthol,Revolution Cannabis,,Limonene,β-Caryophyllene,cis-β-Ocimene,Linalool,α-Humulene,https://fastlabs.qbench.net/pr/114575311c43adc,,,,,,
Mimosa,Bold,,Limonene,β-Myrcene,β-Caryophyllene,,,,,,,,,
Mimosa Evo,Carpenter Farms,,β-Myrcene,Limonene,β-Pinene,Phellandrene,Ocimene 3-Carene α-Terpinene,https://drive.google.com/file/d/18fv_wNUgdIa7aPaiXxPcX4OEsmfL4LoE/view,,,,,,
Moby Dick,Carpenter Farms,,β-Myrcene,β-Pinene,β-Caryophyllene,Phellandrene,α-Terpinene,https://drive.google.com/file/d/1nZtBx1qMg4uz3MMIMUwCt0AamV__fjYU/view,,,,,,
Mochi Runtz,Revolution,,d-Limonene,β-Myrcene,β-Caryophyllene,Linalool,cis-β-Ocimene,https://fastlabs.qbench.net/pr/d95ba23e07f49cf,,,,,,
Montana Silvertip,,80/20 S,β-Myrcene,β-Caryophyllene,Pinene,,,,"May assist in alleviating symptoms of stress, pain, and depression, offering both mental and physical relief.","Experience the exceptional Montana Silvertip, a strain that masterfully balances euphoria and relaxation. Its dense, frosty buds exude a captivating gasoline and berry aroma, while the flavor delights with a fusion of fuel and sweet berries. Ideal for those seeking a versatile experience, Montana Silvertip offers potential relief from stress and anxiety, making it a must-try for cannabis connoisseurs.","Anticipate an uplifting cerebral high accompanied by a relaxing body buzz, making it suitable for both daytime and evening use.","A complex aroma profile, combining earthy pine notes with pungent diesel and a hint of sweet berries, creating an enticing scent.","Montana Silvertip delivers a harmonious blend of sweet berries and earthy pine, complemented by subtle diesel undertones, providing a rich and satisfying taste experience.",Grand Daddy Purp x Super Silver Haze
Moookie B,,50/50 H,β-Myrcene,β-Caryophyllene,Limonene,,,,"Stress, anxiety, and mild pain, offering both mental and physical relief","Discover the exceptional Mookie B R1, a hybrid strain that masterfully balances euphoria and relaxation. Its dense, frosty buds exude a captivating gasoline and berry aroma, while the flavor delights with a fusion of fuel and sweet berries. Ideal for those seeking a versatile experience, Mookie B R1 offers potential relief from stress and anxiety, making it a must-try for cannabis connoisseurs.","Balanced hybrid effect, delivering an initial euphoric uplift followed by a soothing relaxation, making it suitable for both daytime and evening use.","Ppungent aroma dominated by heavy gasoline notes complemented by undertones of berries, creating a robust and enticing scent profile.","A rich blend of fuel-like flavors intertwined with sweet berry nuances, providing a complex and satisfying taste experience.",Gary Payton x EG3
Moon Boots,Revolution Cannabis,,β-Myrcene,α-Humulene,β-Caryophyllene,Limonene,Linalool,https://fastlabs.qbench.net/pr/53930fb87113429,,,,,,
Moonshine,Osage Creek,70-30,β-Caryophyllene,α-Humulene,Limonene,,,https://sh-ar.qbench.net/pr/79766626791da03 (No Terps),"Creative Activities, Daytime Use, Social Gatherings","Moonshine greets you with a rich, earthy aroma with subtle refreshing, herbal qualities that enhance its overall appeal.","Happy, Creativity, Uplifted","Spice, Earthy, Citrus",,
MORNING WOOD,Leafology,Indica,Limonene,β-Myrcene,α-Humulene,,,,"Stress, Pain, Insomnia, Depression, Mood Swings",,"Euphoria, Relaxation, Creativity, Hunger","Citrus, Diesel, Fruity, Earthy",,
Mountain Goat,,65/35 I,Pinene,,,,,,Chronic stress or anxiety; Depression; ADD/ADHD; Migraines & Headaches,"Embark on an adventurous journey with Mountain Goat! This strain is like a thrilling hike through rugged terrains and breathtaking vistas. Its aroma carries hints of pine and earth, immersing you in the freshness of nature. Mountain Goat brings a sense of energy and inspiration, making it the perfect companion for outdoor activities or creative pursuits. So lace up your hiking boots, take a puff, and let Mountain Goat ignite your spirit of exploration.","Euphoria, Focus, Uplifted, Energetic, Happy","Earthy, Piney, Woody, Herbal","Sweet, Citrusy, Berry",Golden Goat x Cherry Mountain
Mother's Milk,Carpenter Farms,,Limonene,β-Myrcene,α-Terpinene,Phellandrene,β-Pinene,https://drive.google.com/file/d/1M3_h-BocAySM8TBBl5PyE6a35haJuEU6/view,,,,,,
Mother's Milk,Carpenter Farms,Sativa-Hybrid,β-Myrcene,β-Pinene,β-Caryophyllene,α-Terpinene,α-Phellandrene,https://drive.google.com/file/d/1TRiTgaXFRx1_MCMzRUwlXECHHJFjgAyp/view?usp=drive_link,,,,,,
Motivation on the Move,Carpenter Farms,,Limonene,β-Myrcene,β-Pinene,cis-β-Ocimene,β-Caryophyllene,https://drive.google.com/file/d/1Df5DcS_oIy6V8IQ-3L4f7_8JdmYGz6f2/view,,,,,,
Mr.Clean,Bold,Sativa,Terpinolene,Limonene,β-Myrcene,,,,,"Mr. Clean is a sativa cultivar bred by Exotic Genetix, this mix of Lime Skunk and The Cube will bring a new burst of flavor to the BOLD lineup. This strain smells of limes, and tart candies with a more sativa like bud structure. Mr. Clean has proven to be a winner in the BOLD lineup",,,,
MR. SKETCH,Leafology,Hybrid,Limonene,β-Myrcene,α-Humulene,,,,"Stress, Pain, Insomnia, Depression, Mood Swings",,"Euphoria, Relaxation, Creativity, Hunger","Citrus, Diesel, Fruity, Earthy",,
